사업자등록번호,데이터수집일자,조사년도,분석기업매출액,산업평균매출액,분석기업매출액증감률,산업평균매출액증감률,기업연구개발액,평균연구개발액,기업연구개발액증감률,평균연구개발액증감률,기업특허실용신안출원건수,평균특허실용신안출원건수,기업특허실용신안생산력금액,평균특허실용신안생산력금액
1058693579,20220317,2018,,,,1,,4791.89,,1,,,, 
1058686501,20220317,2020,,,,8,,,,,,,, 
1058716152,20220317,2017,3176000,,3.29,11,,10468.07,,11,,,, 
1058633697,20220317,2021,,,,,,,,,,,, 
1058163629,20220317,2021,,,,,,,,,,,, 
1058211429,20220317,2018,,,,10,,186.07,,92,,,, 
1054378760,20220317,2020,,,,5,,,,,,,, 
1058686836,20220317,2017,1658350,,52.59,7,,10468.07,,11,,,, 
1058687868,20220317,2019,,,,10,,796.34,,6,,,, 
1052368226,20220317,2019,,,,45,,13956.81,,205,,,, 
1058515765,20220317,2019,,,,11,,13956.81,,25,,,, 
1058679261,20220317,2021,,,,,,,,,,,, 
1058652281,20220317,2021,,,,,,,,,,,, 
1058181383,20220317,2020,,,,2,,,,,4,,, 
1052143876,20220317,2020,,,,3,,,,,,,, 
1058301122,20220317,2021,,,,,,,,,,,, 
1058629631,20220317,2018,,,,14,,11634.01,,16,,,, 
1058147861,20220317,2017,,,,11,,565.59,,12,,,, 
1058648846,20220317,2020,,,,8,,,,,,,, 
1058710783,20220317,2019,,,,10,,13956.81,,205,,,, 
1058208846,20220317,2020,,,,4,,,,,,,, 
1058260347,20220317,2018,,,,7,,65.13,,17,,,, 
1058718811,20220317,2020,,,,2,,,,,,,, 
1058726951,20220317,2021,,,,,,,,,,,, 
1058301059,20220317,2019,,,,10,,13956.81,,205,,,, 
1058685050,20220317,2021,,,,,,,,,,,, 
1054366584,20220317,2019,,,,45,,13956.81,,205,,,, 
1058663380,20220317,2018,,,,14,,11634.01,,16,,,, 
1052383061,20220317,2019,,,,10,,13956.81,,205,,,, 
1058720369,20220317,2017,1133602,,7.48,29,,10468.07,,11,,,, 
1058261481,20220317,2020,,,,8,,,,,,,, 
1058685502,20220317,2017,,,,22,,10468.07,,11,,,, 
1058534705,20220317,2018,,,,7,,754.82,,123,,,, 
1058718242,20220317,2019,3330336,,48.06,45,,13956.81,,205,,,, 
1058217398,20220317,2021,,,,,,,,,,,, 
1058659455,20220317,2020,,,,8,,,,,,,, 
1058178307,20220317,2017,72193242,,27.5,15,,4887.58,,2,,,, 
1058718790,20220317,2021,,,,,,,,,,,, 
1058523547,20220317,2021,,,,,,,,,,,, 
1058106123,20220317,2017,27654056,,6.87,15,,4887.58,,2,,,, 
1052135357,20220317,2019,,,,10,,251.77,,64,,,, 
1052543267,20220317,2019,,,,10,,13956.81,,205,,,, 
1058542239,20220317,2018,,,,10,,186.07,,92,,,, 
1058532537,20220317,2020,,,,1,,,,,,,, 
1058217122,20220317,2020,,,,4,,,,,,,, 
1058642880,20220317,2020,35551149,,14.82,1,,,,,,,, 
1058709966,20220317,2019,,,,11,,13956.81,,25,,,, 
