사업자등록번호,산업분류코드,평균근속기간,고용전망점수
1898605324,62021.0,6.1,
5628700830,46522.0,5.65,
4488105180,58113.0,6.1,
1058705939,62090.0,6.5,
1928804379,46521.0,5.65,
2118604634,46599.0,6.050000000000001,
1188100145,63991.0,6.15,
1058804385,59114.0,6.15,
6538604246,71310.0,6.25,
6943101521,47910.0,,
8693507824,47310.0,,
5848704358,71310.0,6.25,
1058604545,58220.0,6.15,
1018608554,71531.0,6.25,
1088109048,58200.0,6.1,
1058705301,75110.0,6.8999999999999995,
5088605351,46799.0,5.65,
3098609796,26410.0,,
5338805516,63120.0,6.1,
1828705731,46522.0,5.65,
3908602338,42321.0,5.65,
2118704854,42121.0,5.7,
5268705583,62021.0,6.15,
2048103926,46441.0,5.7,
6768100295,95120.0,5.5,
4958708861,25944.0,6.7,
8968106155,47919.0,5.65,
8148107074,47919.0,5.7,
2068600956,61210.0,6.1,
1098606384,60222.0,6.15,
5232108830,26400.0,,
8878704066,58200.0,6.1,
5210805515,0.0,,
1058703818,20423.0,6.7,
7628808866,31312.0,6.65,
2108104965,42209.0,5.7,
1058700458,58113.0,6.5,
6678109099,47919.0,5.65,
8618105804,46522.0,5.65,
1058607751,47911.0,5.7,
1208708725,71109.0,6.300000000000001,
1058700605,71310.0,6.300000000000001,
1052104988,46000.0,,
1108102256,42410.0,5.65,
1058600468,73203.0,6.300000000000001,
1088108159,41220.0,5.65,
6158703204,26410.0,6.65,
6901008705,0.0,,
5058108440,75999.0,5.35,
3821200255,26200.0,,
6428603418,62000.0,6.1,
8908105373,42320.0,5.65,
2972700092,47312.0,,
1058706560,46539.0,5.7,
1050700431,74210.0,5.35,
1052306139,68110.0,,
1081908821,0.0,,
5568805522,42412.0,5.65,
1058705631,73201.0,6.65,
8058108244,59114.0,6.1,
7778803489,58222.0,6.15,
2718805919,26410.0,6.65,
6868607360,46520.0,5.7,
5618707976,26410.0,6.65,
3408104741,25991.0,6.65,
8638802446,42321.0,5.65,
3138708296,26410.0,6.65,
8338709426,42321.0,5.7,
8158605596,42321.0,5.65,
2177400915,47312.0,,
5877504805,0.0,,
1058105809,46522.0,5.65,
1208609351,75121.0,6.8999999999999995,
1108103932,71500.0,6.300000000000001,
1178103410,60229.0,7.6499999999999995,
6328104894,47919.0,5.7,
5598705371,46522.0,5.65,
2928608493,47912.0,5.65,
1363107109,41000.0,5.65,
1058507746,45110.0,8.45,
1018600296,63991.0,6.15,
1058101224,76310.0,5.75,
1058605574,46730.0,5.7,
3828803957,58222.0,6.1,
8498703757,75992.0,5.4,
1058706596,46621.0,5.7,
1208709491,42412.0,5.65,
1058208718,94990.0,6.45,
6408107091,46522.0,5.65,
3288804373,47919.0,5.65,
1228704145,41000.0,5.65,
3882303676,42321.0,5.65,
4748700421,42321.0,5.65,
6458707812,26519.0,6.7,
3378104639,47912.0,5.65,
3298604484,26429.0,6.7,
7018105680,47919.0,5.65,
3258604949,26410.0,6.65,
8900605320,42320.0,,
4141405133,0.0,,
1138104234,20121.0,7.050000000000001,
1138603054,52991.0,7.3,
2708602755,10759.0,6.7,
6978104398,58222.0,6.15,
6128104657,29280.0,6.65,
5918704687,46522.0,5.65,
4155908990,47312.0,,
4880105858,42320.0,,
5382500007,47312.0,,
5632800051,47310.0,,
5731705145,0.0,,
1058100224,58113.0,7.05,
4418704341,71310.0,6.300000000000001,
3808100242,58222.0,6.1,
3018803905,73203.0,6.25,
1058703070,42412.0,6.050000000000001,
6218101740,46800.0,6.050000000000001,
1908102780,42321.0,5.65,
8168603915,47919.0,5.65,
1440204778,46500.0,,
8868103112,26400.0,6.7,
