사업자번호,최종BM점수,최종BM등급,핵심파트너최종점수 ,핵심파트너등급 ,핵심파트너점수,핵심활동최종점수,핵심활동등급,핵심활동점수  ,핵심자원 최종 점수,핵심자원등급 ,핵심자원점수 ,가치제안최종점수,가치제안등급,가치제안점수,마케팅채널최종점수,마케팅채널등급,마케팅채널점수,고객관계최종점수,고객관계등급,고객관계점수,비용구조최종점수,비용구조 등급,비용구조 점수,수익구조최종점수,수익구조 등급,수익구조 점수,고객관계최종점수,고객관계등급
2080,67,B,4,C,5,,C,7,,B,15,,A,6,,B,8,,A,6,,C,4,,C,12,,A
2081,74,B,3,D,5,,C,7,,B,20,,A,8,,A,8,,A,6,,C,6,,C,12,,A
2082,82,A,5,C,5,,C,10,,A,20,,A,3,,D,8,,A,6,,C,6,,C,20,,A
2083,49,C,3,D,6,,B,7,,B,10,,A,5,,C,5,,C,3,,D,6,,C,4,,C
2084,54,C,5,C,8,,A,5,,C,5,,C,6,,B,3,,D,6,,C,4,,C,12,,A
2085,70,B,5,C,2,,E,2,,D,20,,A,5,,C,8,,A,7,,B,6,,C,16,,A
2086,72,B,3,D,6,,B,10,,A,20,,A,3,,D,6,,B,6,,C,6,,C,12,,A
2087,77,B,3,D,8,,A,10,,A,20,,A,6,,B,8,,A,4,,C,6,,C,12,,A
2088,77,B,5,C,6,,B,10,,A,20,,A,8,,A,6,,B,6,,C,4,,C,12,,A
2089,79,B,3,D,5,,C,12,,A,25,,A,3,,D,8,,A,4,,C,7,,B,12,,A
2090,80,B,3,D,6,,B,7,,B,20,,A,8,,A,8,,A,6,,C,6,,C,16,,A
2091,72,B,4,C,8,,A,12,,A,10,,A,5,,C,6,,B,6,,C,6,,C,16,,A
2092,70,B,4,C,8,,A,7,,B,15,,A,6,,B,5,,C,6,,C,7,,B,12,,A
2093,66,B,5,C,6,,B,7,,B,10,,A,8,,A,5,,C,7,,B,6,,C,12,,A
2094,67,B,3,D,5,,C,10,,A,15,,A,5,,C,6,,B,7,,B,4,,C,12,,A
2095,75,B,5,C,6,,B,5,,C,20,,A,8,,A,8,,A,7,,B,4,,C,12,,A
2096,75,B,5,C,8,,A,7,,B,20,,A,6,,B,5,,C,7,,B,4,,C,12,,A
2097,59,C,4,C,3,,D,7,,B,15,,A,3,,D,5,,C,6,,C,4,,C,12,,A
2098,69,B,5,C,5,,C,7,,B,20,,A,6,,B,3,,D,7,,B,7,,B,8,,A
2099,61,B,1,E,3,,D,7,,B,10,,A,6,,B,6,,B,7,,B,4,,C,16,,A
2100,63,B,1,E,8,,A,7,,B,10,,A,8,,A,3,,D,6,,C,4,,C,16,,A
2101,34,D,1,E,2,,E,2,,D,10,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2102,59,C,1,E,6,,B,7,,B,15,,A,3,,D,3,,D,4,,C,3,,D,16,,A
2103,47,C,1,E,5,,C,7,,B,15,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2104,64,B,1,E,8,,A,10,,A,10,,A,3,,D,6,,B,6,,C,4,,C,16,,A
358,57,C,1,E,2,,E,7,,B,10,,A,5,,C,5,,C,6,,C,6,,C,16,,A
2105,85,A,5,C,6,,B,7,,B,25,,A,8,,A,6,,B,4,,C,3,,D,20,,A
2106,70,B,4,C,6,,B,12,,A,15,,A,8,,A,8,,A,7,,B,1,,E,8,,A
