사업자등록번호,데이터수집일자,최종인적자원등급,최종인적자원점수,인적자원구성원점수,인적자원복지점수,인적자원개발점수,인적자원대표이사점수,인적자원경영진점수,인적자원직원점수,인적자원자기개발점수,인적자원인사담당자점수,인적자원대표이사역량점수,인적자원대표이사연혁점수
1010917409,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010920904,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010925933,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010929263,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010930377,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010934956,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010936819,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010942631,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010949105,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010954189,20220620,E,64.25,22.44,16.93,6.0,18.88,67.2,60.0,60.0,60.0,60.0,64.4
1010958318,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010966614,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010976994,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010979569,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010980687,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010982481,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010983855,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010984645,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010984650,20220620,E,61.67,21.0,15.0,6.0,19.67,60.0,60.0,60.0,60.0,60.0,68.33
1010992621,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1010997214,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011015713,20220620,E,62.13,21.53,16.6,6.0,18.0,62.67,60.0,60.0,60.0,60.0,60.0
1011015732,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011018587,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011023867,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011024551,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011026035,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011029406,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011031355,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011031896,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011036528,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011040075,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011042976,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011046123,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011047345,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011048534,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011050137,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011055845,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011055995,20220620,E,60.43,21.0,15.0,6.0,18.43,60.0,60.0,60.0,60.0,60.0,62.13
1011059098,20220620,E,61.17,21.53,15.64,6.0,18.0,62.67,60.0,60.0,60.0,60.0,60.0
1011065440,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011074444,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011075033,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011076632,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011081284,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011089141,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011095435,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011096166,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011099159,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011107281,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011107447,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011108373,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011110980,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011122297,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011124280,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011125673,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011127521,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011148695,20220620,E,68.96,23.67,17.96,6.0,21.33,73.33,60.0,60.0,60.0,60.0,76.67
1011152715,20220620,E,65.55,22.07,16.82,6.0,20.67,65.33,60.0,60.0,60.0,60.0,73.33
1011177341,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011180472,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011184541,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011196504,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011198439,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011223750,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011224031,20220620,E,60.67,21.0,15.0,6.0,18.67,60.0,60.0,60.0,60.0,60.0,63.33
1011229657,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011252842,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011255927,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011257570,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011282875,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011289636,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011313846,20220620,E,60.67,21.0,15.0,6.0,18.67,60.0,60.0,60.0,60.0,60.0,63.33
1011316367,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
1011350685,20220620,E,60.0,21.0,15.0,6.0,18.0,60.0,60.0,60.0,60.0,60.0,60.0
